Graph,V,E,MaxDegree,Algorithm,NumThreads,LoadTime,ColoringTime,NumColorsUsed
agrocyc_dag_uniq.gra,12684,27314,5488,Greedy,1,0.019098,0.005991,5
agrocyc_dag_uniq.gra,12684,27314,5488,JonesPlassmann,2,0.006897,0.005566,5
agrocyc_dag_uniq.gra,12684,27314,5488,JonesPlassmann,4,0.005741,0.007035,6
agrocyc_dag_uniq.gra,12684,27314,5488,JonesPlassmann,8,0.006047,0.005869,5
agrocyc_dag_uniq.gra,12684,27314,5488,Luby,2,0.013211,0.037389,5
agrocyc_dag_uniq.gra,12684,27314,5488,Luby,4,0.007919,0.04135,5
agrocyc_dag_uniq.gra,12684,27314,5488,Luby,8,0.005682,0.040423,5
ba10k2d.gra,10000,39992,228,Greedy,1,0.00974,0.004999,8
ba10k2d.gra,10000,39992,228,JonesPlassmann,2,0.01128,0.009164,7
ba10k2d.gra,10000,39992,228,JonesPlassmann,4,0.007546,0.008716,8
ba10k2d.gra,10000,39992,228,JonesPlassmann,8,0.010222,0.01148,8
ba10k2d.gra,10000,39992,228,Luby,2,0.013202,0.042806,7
ba10k2d.gra,10000,39992,228,Luby,4,0.00705,0.045773,8
ba10k2d.gra,10000,39992,228,Luby,8,0.006643,0.079811,8
citeseer.scc.gra,693947,624564,55758,Greedy,1,0.462819,0.427743,6
citeseer.scc.gra,693947,624564,55758,JonesPlassmann,2,0.343883,0.296639,4
citeseer.scc.gra,693947,624564,55758,JonesPlassmann,4,0.256365,0.198784,5
citeseer.scc.gra,693947,624564,55758,JonesPlassmann,8,0.2521,0.157026,5
citeseer.scc.gra,693947,624564,55758,Luby,2,0.261914,0.741533,6
citeseer.scc.gra,693947,624564,55758,Luby,4,0.268648,0.7272,6
citeseer.scc.gra,693947,624564,55758,Luby,8,0.252913,0.823137,6
citeseer_sub_10720.gra,10720,88516,192,Greedy,1,0.02076,0.006712,12
citeseer_sub_10720.gra,10720,88516,192,JonesPlassmann,2,0.016715,0.008836,11
citeseer_sub_10720.gra,10720,88516,192,JonesPlassmann,4,0.010446,0.010122,12
citeseer_sub_10720.gra,10720,88516,192,JonesPlassmann,8,0.013425,0.014849,12
citeseer_sub_10720.gra,10720,88516,192,Luby,2,0.016708,0.069118,12
citeseer_sub_10720.gra,10720,88516,192,Luby,4,0.013609,0.075548,13
citeseer_sub_10720.gra,10720,88516,192,Luby,8,0.012963,0.146715,12
rgg_n_2_15_s0.graph,32768,160240,24,Greedy,1,0.116685,0.027843,14
rgg_n_2_15_s0.graph,32768,160240,24,JonesPlassmann,2,0.059005,0.017705,13
rgg_n_2_15_s0.graph,32768,160240,24,JonesPlassmann,4,0.043577,0.009469,13
rgg_n_2_15_s0.graph,32768,160240,24,JonesPlassmann,8,0.044905,0.009778,13
rgg_n_2_15_s0.graph,32768,160240,24,Luby,2,0.047028,0.342279,15
rgg_n_2_15_s0.graph,32768,160240,24,Luby,4,0.042221,0.201757,15
rgg_n_2_15_s0.graph,32768,160240,24,Luby,8,0.046384,0.28916,15
